Service Type,Year,Value
Saturday,"April 30, 2012",
Saturday Holiday,"April 30, 2012",
Special(Saturday),"April 30, 2012",
Sunday,"April 30, 2012",
Sunday Holiday,"April 30, 2012",
Weekday,"April 30, 2012",684646.0
July 4th Special,"May 1, 2012",
July 4th Special Sked,"May 1, 2012",
Saturday,"May 1, 2012",
Saturday Holiday,"May 1, 2012",
Special(Saturday),"May 1, 2012",
Sunday,"May 1, 2012",
Sunday Holiday,"May 1, 2012",
Weekday,"May 1, 2012",742365.0
July 4th Special,"May 2, 2012",
July 4th Special Sked,"May 2, 2012",
Saturday,"May 2, 2012",
Saturday Holiday,"May 2, 2012",
Special(Saturday),"May 2, 2012",
Sunday,"May 2, 2012",
Sunday Holiday,"May 2, 2012",
Weekday,"May 2, 2012",755512.0
July 4th Special,"May 3, 2012",
July 4th Special Sked,"May 3, 2012",
Saturday,"May 3, 2012",
Saturday Holiday,"May 3, 2012",
Special(Saturday),"May 3, 2012",
Sunday,"May 3, 2012",
Sunday Holiday,"May 3, 2012",
Weekday,"May 3, 2012",758050.0
July 4th Special,"May 4, 2012",
July 4th Special Sked,"May 4, 2012",
Saturday,"May 4, 2012",
Saturday Holiday,"May 4, 2012",
Special(Saturday),"May 4, 2012",
Sunday,"May 4, 2012",
Sunday Holiday,"May 4, 2012",
Weekday,"May 4, 2012",742826.0
July 4th Special,"May 7, 2012",
July 4th Special Sked,"May 7, 2012",
Saturday,"May 7, 2012",
Saturday Holiday,"May 7, 2012",
Special(Saturday),"May 7, 2012",
Sunday,"May 7, 2012",
Sunday Holiday,"May 7, 2012",
Weekday,"May 7, 2012",689767.0
July 4th Special,"May 8, 2012",
July 4th Special Sked,"May 8, 2012",
Saturday,"May 8, 2012",
Saturday Holiday,"May 8, 2012",
Special(Saturday),"May 8, 2012",
Sunday,"May 8, 2012",
Sunday Holiday,"May 8, 2012",
Weekday,"May 8, 2012",724241.0
July 4th Special,"May 9, 2012",
July 4th Special Sked,"May 9, 2012",
Saturday,"May 9, 2012",
Saturday Holiday,"May 9, 2012",
Special(Saturday),"May 9, 2012",
Sunday,"May 9, 2012",
Sunday Holiday,"May 9, 2012",
Weekday,"May 9, 2012",756157.0
July 4th Special,"May 10, 2012",
July 4th Special Sked,"May 10, 2012",
Saturday,"May 10, 2012",
Saturday Holiday,"May 10, 2012",
Special(Saturday),"May 10, 2012",
Sunday,"May 10, 2012",
Sunday Holiday,"May 10, 2012",
Weekday,"May 10, 2012",763310.0
July 4th Special,"May 11, 2012",
July 4th Special Sked,"May 11, 2012",
Saturday,"May 11, 2012",
Saturday Holiday,"May 11, 2012",
Special(Saturday),"May 11, 2012",
Sunday,"May 11, 2012",
Sunday Holiday,"May 11, 2012",
Weekday,"May 11, 2012",726418.0
July 4th Special,"May 14, 2012",
July 4th Special Sked,"May 14, 2012",
Saturday,"May 14, 2012",
Saturday Holiday,"May 14, 2012",
Special(Saturday),"May 14, 2012",
Sunday,"May 14, 2012",
Sunday Holiday,"May 14, 2012",
Weekday,"May 14, 2012",680096.0
July 4th Special,"May 15, 2012",
July 4th Special Sked,"May 15, 2012",
Saturday,"May 15, 2012",
Saturday Holiday,"May 15, 2012",
Special(Saturday),"May 15, 2012",
Sunday,"May 15, 2012",
Sunday Holiday,"May 15, 2012",
Weekday,"May 15, 2012",744592.0
July 4th Special,"May 16, 2012",
July 4th Special Sked,"May 16, 2012",
Saturday,"May 16, 2012",
Saturday Holiday,"May 16, 2012",
Special(Saturday),"May 16, 2012",
Sunday,"May 16, 2012",
Sunday Holiday,"May 16, 2012",
Weekday,"May 16, 2012",783071.0
July 4th Special,"May 17, 2012",
July 4th Special Sked,"May 17, 2012",
