Service Type,Year,Value
Sunday,"February 28, 2022",
Sunday Holiday,"February 28, 2022",
Weekday,"February 28, 2022",165821.0
July 4th Special,"March 1, 2022",
July 4th Special Sked,"March 1, 2022",
Saturday,"March 1, 2022",
Saturday Holiday,"March 1, 2022",
Special(Saturday),"March 1, 2022",
Sunday,"March 1, 2022",
Sunday Holiday,"March 1, 2022",
Weekday,"March 1, 2022",181469.0
July 4th Special,"March 2, 2022",
July 4th Special Sked,"March 2, 2022",
Saturday,"March 2, 2022",
Saturday Holiday,"March 2, 2022",
Special(Saturday),"March 2, 2022",
Sunday,"March 2, 2022",
Sunday Holiday,"March 2, 2022",
Weekday,"March 2, 2022",187391.0
July 4th Special,"March 3, 2022",
July 4th Special Sked,"March 3, 2022",
Saturday,"March 3, 2022",
Saturday Holiday,"March 3, 2022",
Special(Saturday),"March 3, 2022",
Sunday,"March 3, 2022",
Sunday Holiday,"March 3, 2022",
Weekday,"March 3, 2022",189345.0
July 4th Special,"March 4, 2022",
July 4th Special Sked,"March 4, 2022",
Saturday,"March 4, 2022",
Saturday Holiday,"March 4, 2022",
Special(Saturday),"March 4, 2022",
Sunday,"March 4, 2022",
Sunday Holiday,"March 4, 2022",
Weekday,"March 4, 2022",180741.0
July 4th Special,"March 7, 2022",
July 4th Special Sked,"March 7, 2022",
Saturday,"March 7, 2022",
Saturday Holiday,"March 7, 2022",
Special(Saturday),"March 7, 2022",
Sunday,"March 7, 2022",
Sunday Holiday,"March 7, 2022",
Weekday,"March 7, 2022",174330.0
July 4th Special,"March 8, 2022",
July 4th Special Sked,"March 8, 2022",
Saturday,"March 8, 2022",
Saturday Holiday,"March 8, 2022",
Special(Saturday),"March 8, 2022",
Sunday,"March 8, 2022",
Sunday Holiday,"March 8, 2022",
Weekday,"March 8, 2022",188219.0
July 4th Special,"March 9, 2022",
July 4th Special Sked,"March 9, 2022",
Saturday,"March 9, 2022",
Saturday Holiday,"March 9, 2022",
Special(Saturday),"March 9, 2022",
Sunday,"March 9, 2022",
Sunday Holiday,"March 9, 2022",
Weekday,"March 9, 2022",177509.0
July 4th Special,"March 10, 2022",
July 4th Special Sked,"March 10, 2022",
Saturday,"March 10, 2022",
Saturday Holiday,"March 10, 2022",
Special(Saturday),"March 10, 2022",
Sunday,"March 10, 2022",
Sunday Holiday,"March 10, 2022",
Weekday,"March 10, 2022",191165.0
July 4th Special,"March 11, 2022",
July 4th Special Sked,"March 11, 2022",
Saturday,"March 11, 2022",
Saturday Holiday,"March 11, 2022",
Special(Saturday),"March 11, 2022",
Sunday,"March 11, 2022",
Sunday Holiday,"March 11, 2022",
Weekday,"March 11, 2022",191898.0
July 4th Special,"March 14, 2022",
July 4th Special Sked,"March 14, 2022",
Saturday,"March 14, 2022",
Saturday Holiday,"March 14, 2022",
Special(Saturday),"March 14, 2022",
Sunday,"March 14, 2022",
Sunday Holiday,"March 14, 2022",
Weekday,"March 14, 2022",184868.0
July 4th Special,"March 15, 2022",
July 4th Special Sked,"March 15, 2022",
Saturday,"March 15, 2022",
Saturday Holiday,"March 15, 2022",
Special(Saturday),"March 15, 2022",
Sunday,"March 15, 2022",
Sunday Holiday,"March 15, 2022",
Weekday,"March 15, 2022",219705.0
July 4th Special,"March 16, 2022",
July 4th Special Sked,"March 16, 2022",
Saturday,"March 16, 2022",
Saturday Holiday,"March 16, 2022",
Special(Saturday),"March 16, 2022",
Sunday,"March 16, 2022",
Sunday Holiday,"March 16, 2022",
Weekday,"March 16, 2022",225783.0
July 4th Special,"March 17, 2022",
July 4th Special Sked,"March 17, 2022",
Saturday,"March 17, 2022",
Saturday Holiday,"March 17, 2022",
Special(Saturday),"March 17, 2022",
Sunday,"March 17, 2022",
Sunday Holiday,"March 17, 2022",
Weekday,"March 17, 2022",203939.0
July 4th Special,"March 18, 2022",
July 4th Special Sked,"March 18, 2022",
Saturday,"March 18, 2022",
Saturday Holiday,"March 18, 2022",
Special(Saturday),"March 18, 2022",
Sunday,"March 18, 2022",
Sunday Holiday,"March 18, 2022",
Weekday,"March 18, 2022",217514.0
July 4th Special,"March 21, 2022",
July 4th Special Sked,"March 21, 2022",
Saturday,"March 21, 2022",
Saturday Holiday,"March 21, 2022",
Special(Saturday),"March 21, 2022",
Sunday,"March 21, 2022",
Sunday Holiday,"March 21, 2022",
Weekday,"March 21, 2022",202396.0
July 4th Special,"March 22, 2022",
July 4th Special Sked,"March 22, 2022",
Saturday,"March 22, 2022",
Saturday Holiday,"March 22, 2022",
Special(Saturday),"March 22, 2022",
Sunday,"March 22, 2022",
Sunday Holiday,"March 22, 2022",
Weekday,"March 22, 2022",246312.0
July 4th Special,"March 23, 2022",
July 4th Special Sked,"March 23, 2022",
Saturday,"March 23, 2022",
Saturday Holiday,"March 23, 2022",
Special(Saturday),"March 23, 2022",
Sunday,"March 23, 2022",
Sunday Holiday,"March 23, 2022",
Weekday,"March 23, 2022",213430.0
July 4th Special,"March 24, 2022",
July 4th Special Sked,"March 24, 2022",
Saturday,"March 24, 2022",
Saturday Holiday,"March 24, 2022",
Special(Saturday),"March 24, 2022",
Sunday,"March 24, 2022",
Sunday Holiday,"March 24, 2022",
Weekday,"March 24, 2022",221095.0
July 4th Special,"March 25, 2022",
July 4th Special Sked,"March 25, 2022",
Saturday,"March 25, 2022",
Saturday Holiday,"March 25, 2022",
Special(Saturday),"March 25, 2022",
Sunday,"March 25, 2022",
Sunday Holiday,"March 25, 2022",
Weekday,"March 25, 2022",254128.0
July 4th Special,"March 28, 2022",
July 4th Special Sked,"March 28, 2022",
Saturday,"March 28, 2022",
Saturday Holiday,"March 28, 2022",
Special(Saturday),"March 28, 2022",
Sunday,"March 28, 2022",
Sunday Holiday,"March 28, 2022",
Weekday,"March 28, 2022",202047.0
July 4th Special,"March 29, 2022",
July 4th Special Sked,"March 29, 2022",
Saturday,"March 29, 2022",
Saturday Holiday,"March 29, 2022",
Special(Saturday),"March 29, 2022",
Sunday,"March 29, 2022",
Sunday Holiday,"March 29, 2022",
Weekday,"March 29, 2022",225174.0
July 4th Special,"March 30, 2022",
July 4th Special Sked,"March 30, 2022",
Saturday,"March 30, 2022",
Saturday Holiday,"March 30, 2022",
Special(Saturday),"March 30, 2022",
Sunday,"March 30, 2022",
Sunday Holiday,"March 30, 2022",
Weekday,"March 30, 2022",229347.0
July 4th Special,"March 31, 2022",
July 4th Special Sked,"March 31, 2022",
Saturday,"March 31, 2022",
Saturday Holiday,"March 31, 2022",
Special(Saturday),"March 31, 2022",
Sunday,"March 31, 2022",
Sunday Holiday,"March 31, 2022",
Weekday,"March 31, 2022",217825.0
July 4th Special,"April 1, 2022",
July 4th Special Sked,"April 1, 2022",
Saturday,"April 1, 2022",
Saturday Holiday,"April 1, 2022",
Special(Saturday),"April 1, 2022",
Sunday,"April 1, 2022",
Sunday Holiday,"April 1, 2022",
Weekday,"April 1, 2022",235911.0
July 4th Special,"April 4, 2022",
July 4th Special Sked,"April 4, 2022",
Saturday,"April 4, 2022",
Saturday Holiday,"April 4, 2022",
Special(Saturday),"April 4, 2022",
Sunday,"April 4, 2022",
Sunday Holiday,"April 4, 2022",
Weekday,"April 4, 2022",215627.0
July 4th Special,"April 5, 2022",
July 4th Special Sked,"April 5, 2022",
Saturday,"April 5, 2022",
Saturday Holiday,"April 5, 2022",
Special(Saturday),"April 5, 2022",
Sunday,"April 5, 2022",
Sunday Holiday,"April 5, 2022",
Weekday,"April 5, 2022",225483.0
July 4th Special,"April 6, 2022",
July 4th Special Sked,"April 6, 2022",
Saturday,"April 6, 2022",
Saturday Holiday,"April 6, 2022",
Special(Saturday),"April 6, 2022",
Sunday,"April 6, 2022",
Sunday Holiday,"April 6, 2022",
Weekday,"April 6, 2022",237794.0
July 4th Special,"April 7, 2022",
July 4th Special Sked,"April 7, 2022",
Saturday,"April 7, 2022",
Saturday Holiday,"April 7, 2022",
Special(Saturday),"April 7, 2022",
Sunday,"April 7, 2022",
Sunday Holiday,"April 7, 2022",
Weekday,"April 7, 2022",228859.0
July 4th Special,"April 8, 2022",
July 4th Special Sked,"April 8, 2022",
Saturday,"April 8, 2022",
Saturday Holiday,"April 8, 2022",
Special(Saturday),"April 8, 2022",
Sunday,"April 8, 2022",
Sunday Holiday,"April 8, 2022",
Weekday,"April 8, 2022",243648.0
July 4th Special,"April 11, 2022",
July 4th Special Sked,"April 11, 2022",
Saturday,"April 11, 2022",
Saturday Holiday,"April 11, 2022",
Special(Saturday),"April 11, 2022",
Sunday,"April 11, 2022",
Sunday Holiday,"April 11, 2022",
Weekday,"April 11, 2022",206928.0
July 4th Special,"April 12, 2022",
July 4th Special Sked,"April 12, 2022",
Saturday,"April 12, 2022",
Saturday Holiday,"April 12, 2022",
Special(Saturday),"April 12, 2022",
Sunday,"April 12, 2022",
Sunday Holiday,"April 12, 2022",
Weekday,"April 12, 2022",240786.0
July 4th Special,"April 13, 2022",
July 4th Special Sked,"April 13, 2022",
Saturday,"April 13, 2022",
Saturday Holiday,"April 13, 2022",
Special(Saturday),"April 13, 2022",
Sunday,"April 13, 2022",
Sunday Holiday,"April 13, 2022",
Weekday,"April 13, 2022",236605.0
July 4th Special,"April 14, 2022",
July 4th Special Sked,"April 14, 2022",
Saturday,"April 14, 2022",
Saturday Holiday,"April 14, 2022",
Special(Saturday),"April 14, 2022",
Sunday,"April 14, 2022",
Sunday Holiday,"April 14, 2022",
Weekday,"April 14, 2022",224523.0
July 4th Special,"April 15, 2022",
July 4th Special Sked,"April 15, 2022",
Saturday,"April 15, 2022",
Saturday Holiday,"April 15, 2022",
Special(Saturday),"April 15, 2022",
Sunday,"April 15, 2022",
Sunday Holiday,"April 15, 2022",
Weekday,"April 15, 2022",216442.0
July 4th Special,"April 18, 2022",
July 4th Special Sked,"April 18, 2022",
Saturday,"April 18, 2022",
Saturday Holiday,"April 18, 2022",
Special(Saturday),"April 18, 2022",
Sunday,"April 18, 2022",
Sunday Holiday,"April 18, 2022",
Weekday,"April 18, 2022",181000.0
July 4th Special,"April 19, 2022",
July 4th Special Sked,"April 19, 2022",
Saturday,"April 19, 2022",
Saturday Holiday,"April 19, 2022",
Special(Saturday),"April 19, 2022",
Sunday,"April 19, 2022",
Sunday Holiday,"April 19, 2022",
Weekday,"April 19, 2022",238687.0
July 4th Special,"April 20, 2022",
July 4th Special Sked,"April 20, 2022",
Saturday,"April 20, 2022",
Saturday Holiday,"April 20, 2022",
Special(Saturday),"April 20, 2022",
Sunday,"April 20, 2022",
Sunday Holiday,"April 20, 2022",
Weekday,"April 20, 2022",247475.0
July 4th Special,"April 21, 2022",
July 4th Special Sked,"April 21, 2022",
Saturday,"April 21, 2022",
Saturday Holiday,"April 21, 2022",
Special(Saturday),"April 21, 2022",
Sunday,"April 21, 2022",
Sunday Holiday,"April 21, 2022",
Weekday,"April 21, 2022",248840.0
July 4th Special,"April 22, 2022",
July 4th Special Sked,"April 22, 2022",
Saturday,"April 22, 2022",
Saturday Holiday,"April 22, 2022",
Special(Saturday),"April 22, 2022",
Sunday,"April 22, 2022",
Sunday Holiday,"April 22, 2022",
Weekday,"April 22, 2022",244921.0
July 4th Special,"April 25, 2022",
July 4th Special Sked,"April 25, 2022",
Saturday,"April 25, 2022",
Saturday Holiday,"April 25, 2022",
Special(Saturday),"April 25, 2022",
Sunday,"April 25, 2022",
Sunday Holiday,"April 25, 2022",
Weekday,"April 25, 2022",201293.0
July 4th Special,"April 26, 2022",
July 4th Special Sked,"April 26, 2022",
Saturday,"April 26, 2022",
Saturday Holiday,"April 26, 2022",
Special(Saturday),"April 26, 2022",
Sunday,"April 26, 2022",
Sunday Holiday,"April 26, 2022",
Weekday,"April 26, 2022",231149.0
July 4th Special,"April 27, 2022",
July 4th Special Sked,"April 27, 2022",
Saturday,"April 27, 2022",
Saturday Holiday,"April 27, 2022",
Special(Saturday),"April 27, 2022",
Sunday,"April 27, 2022",
Sunday Holiday,"April 27, 2022",
Weekday,"April 27, 2022",237073.0
July 4th Special,"April 28, 2022",
July 4th Special Sked,"April 28, 2022",
Saturday,"April 28, 2022",
Saturday Holiday,"April 28, 2022",
Special(Saturday),"April 28, 2022",
Sunday,"April 28, 2022",
Sunday Holiday,"April 28, 2022",
Weekday,"April 28, 2022",231125.0
July 4th Special,"April 29, 2022",
July 4th Special Sked,"April 29, 2022",
Saturday,"April 29, 2022",
Saturday Holiday,"April 29, 2022",
Special(Saturday),"April 29, 2022",
Sunday,"April 29, 2022",
Sunday Holiday,"April 29, 2022",
Weekday,"April 29, 2022",215374.0
July 4th Special,"May 2, 2022",
July 4th Special Sked,"May 2, 2022",
Saturday,"May 2, 2022",
Saturday Holiday,"May 2, 2022",
Special(Saturday),"May 2, 2022",
Sunday,"May 2, 2022",
Sunday Holiday,"May 2, 2022",
Weekday,"May 2, 2022",208216.0
July 4th Special,"May 3, 2022",
July 4th Special Sked,"May 3, 2022",
Saturday,"May 3, 2022",
Saturday Holiday,"May 3, 2022",
Special(Saturday),"May 3, 2022",
Sunday,"May 3, 2022",
Sunday Holiday,"May 3, 2022",
Weekday,"May 3, 2022",242625.0
July 4th Special,"May 4, 2022",
July 4th Special Sked,"May 4, 2022",
Saturday,"May 4, 2022",
Saturday Holiday,"May 4, 2022",
Special(Saturday),"May 4, 2022",
Sunday,"May 4, 2022",
Sunday Holiday,"May 4, 2022",
Weekday,"May 4, 2022",235645.0
July 4th Special,"May 5, 2022",
July 4th Special Sked,"May 5, 2022",
Saturday,"May 5, 2022",
Saturday Holiday,"May 5, 2022",
Special(Saturday),"May 5, 2022",
Sunday,"May 5, 2022",
Sunday Holiday,"May 5, 2022",
Weekday,"May 5, 2022",236649.0
July 4th Special,"May 6, 2022",
July 4th Special Sked,"May 6, 2022",
Saturday,"May 6, 2022",
Saturday Holiday,"May 6, 2022",
Special(Saturday),"May 6, 2022",
Sunday,"May 6, 2022",
Sunday Holiday,"May 6, 2022",
Weekday,"May 6, 2022",193516.0
July 4th Special,"May 9, 2022",
July 4th Special Sked,"May 9, 2022",
Saturday,"May 9, 2022",
Saturday Holiday,"May 9, 2022",
Special(Saturday),"May 9, 2022",
Sunday,"May 9, 2022",
Sunday Holiday,"May 9, 2022",
Weekday,"May 9, 2022",212192.0
July 4th Special,"May 10, 2022",
July 4th Special Sked,"May 10, 2022",
Saturday,"May 10, 2022",
Saturday Holiday,"May 10, 2022",
Special(Saturday),"May 10, 2022",
Sunday,"May 10, 2022",
Sunday Holiday,"May 10, 2022",
Weekday,"May 10, 2022",251591.0
July 4th Special,"May 11, 2022",
July 4th Special Sked,"May 11, 2022",
Saturday,"May 11, 2022",
Saturday Holiday,"May 11, 2022",
Special(Saturday),"May 11, 2022",
Sunday,"May 11, 2022",
Sunday Holiday,"May 11, 2022",
Weekday,"May 11, 2022",253298.0
July 4th Special,"May 12, 2022",
July 4th Special Sked,"May 12, 2022",
Saturday,"May 12, 2022",
Saturday Holiday,"May 12, 2022",
Special(Saturday),"May 12, 2022",
Sunday,"May 12, 2022",
Sunday Holiday,"May 12, 2022",
Weekday,"May 12, 2022",259481.0
July 4th Special,"May 13, 2022",
July 4th Special Sked,"May 13, 2022",
Saturday,"May 13, 2022",
Saturday Holiday,"May 13, 2022",
Special(Saturday),"May 13, 2022",
Sunday,"May 13, 2022",
Sunday Holiday,"May 13, 2022",
Weekday,"May 13, 2022",243075.0
July 4th Special,"May 16, 2022",
July 4th Special Sked,"May 16, 2022",
Saturday,"May 16, 2022",
Saturday Holiday,"May 16, 2022",
Special(Saturday),"May 16, 2022",
Sunday,"May 16, 2022",
Sunday Holiday,"May 16, 2022",
Weekday,"May 16, 2022",199606.0
July 4th Special,"May 17, 2022",
July 4th Special Sked,"May 17, 2022",
Saturday,"May 17, 2022",
Saturday Holiday,"May 17, 2022",
Special(Saturday),"May 17, 2022",
Sunday,"May 17, 2022",
Sunday Holiday,"May 17, 2022",
Weekday,"May 17, 2022",245598.0
July 4th Special,"May 18, 2022",
July 4th Special Sked,"May 18, 2022",
Saturday,"May 18, 2022",
Saturday Holiday,"May 18, 2022",
Special(Saturday),"May 18, 2022",
Sunday,"May 18, 2022",
Sunday Holiday,"May 18, 2022",
Weekday,"May 18, 2022",245046.0
July 4th Special,"May 19, 2022",
July 4th Special Sked,"May 19, 2022",
Saturday,"May 19, 2022",
Saturday Holiday,"May 19, 2022",
Special(Saturday),"May 19, 2022",
Sunday,"May 19, 2022",
Sunday Holiday,"May 19, 2022",
Weekday,"May 19, 2022",236778.0
July 4th Special,"May 20, 2022",
July 4th Special Sked,"May 20, 2022",
Saturday,"May 20, 2022",
Saturday Holiday,"May 20, 2022",
Special(Saturday),"May 20, 2022",
Sunday,"May 20, 2022",
Sunday Holiday,"May 20, 2022",
Weekday,"May 20, 2022",217055.0
July 4th Special,"May 23, 2022",
July 4th Special Sked,"May 23, 2022",
Saturday,"May 23, 2022",
Saturday Holiday,"May 23, 2022",
Special(Saturday),"May 23, 2022",
Sunday,"May 23, 2022",
Sunday Holiday,"May 23, 2022",
Weekday,"May 23, 2022",223437.0
July 4th Special,"May 24, 2022",
July 4th Special Sked,"May 24, 2022",
Saturday,"May 24, 2022",
Saturday Holiday,"May 24, 2022",
Special(Saturday),"May 24, 2022",
Sunday,"May 24, 2022",
Sunday Holiday,"May 24, 2022",
Weekday,"May 24, 2022",242033.0
July 4th Special,"May 25, 2022",
July 4th Special Sked,"May 25, 2022",
Saturday,"May 25, 2022",
Saturday Holiday,"May 25, 2022",
Special(Saturday),"May 25, 2022",
Sunday,"May 25, 2022",
Sunday Holiday,"May 25, 2022",
Weekday,"May 25, 2022",249823.0
July 4th Special,"May 26, 2022",
July 4th Special Sked,"May 26, 2022",
Saturday,"May 26, 2022",
Saturday Holiday,"May 26, 2022",
Special(Saturday),"May 26, 2022",
Sunday,"May 26, 2022",
Sunday Holiday,"May 26, 2022",
Weekday,"May 26, 2022",238338.0
July 4th Special,"May 27, 2022",
July 4th Special Sked,"May 27, 2022",
Saturday,"May 27, 2022",
Saturday Holiday,"May 27, 2022",
Special(Saturday),"May 27, 2022",
Sunday,"May 27, 2022",
Sunday Holiday,"May 27, 2022",
Weekday,"May 27, 2022",192881.0
July 4th Special,"May 30, 2022",
July 4th Special Sked,"May 30, 2022",
Saturday,"May 30, 2022",
Saturday Holiday,"May 30, 2022",
Special(Saturday),"May 30, 2022",
Sunday,"May 30, 2022",128157.0
Sunday Holiday,"May 30, 2022",
Weekday,"May 30, 2022",
July 4th Special,"May 31, 2022",
July 4th Special Sked,"May 31, 2022",
Saturday,"May 31, 2022",
Saturday Holiday,"May 31, 2022",
Special(Saturday),"May 31, 2022",
Sunday,"May 31, 2022",
Sunday Holiday,"May 31, 2022",
Weekday,"May 31, 2022",230242.0
July 4th Special,"June 1, 2022",
July 4th Special Sked,"June 1, 2022",
Saturday,"June 1, 2022",
Saturday Holiday,"June 1, 2022",
Special(Saturday),"June 1, 2022",
Sunday,"June 1, 2022",
Sunday Holiday,"June 1, 2022",
Weekday,"June 1, 2022",247814.0
July 4th Special,"June 2, 2022",
July 4th Special Sked,"June 2, 2022",
Saturday,"June 2, 2022",
Saturday Holiday,"June 2, 2022",
Special(Saturday),"June 2, 2022",
Sunday,"June 2, 2022",
Sunday Holiday,"June 2, 2022",
Weekday,"June 2, 2022",231740.0
July 4th Special,"June 3, 2022",
July 4th Special Sked,"June 3, 2022",
Saturday,"June 3, 2022",
Saturday Holiday,"June 3, 2022",
Special(Saturday),"June 3, 2022",
Sunday,"June 3, 2022",
Sunday Holiday,"June 3, 2022",
Weekday,"June 3, 2022",234766.0
July 4th Special,"June 6, 2022",
July 4th Special Sked,"June 6, 2022",
Saturday,"June 6, 2022",
Saturday Holiday,"June 6, 2022",
Special(Saturday),"June 6, 2022",
Sunday,"June 6, 2022",
Sunday Holiday,"June 6, 2022",
Weekday,"June 6, 2022",229441.0
July 4th Special,"June 7, 2022",
July 4th Special Sked,"June 7, 2022",
Saturday,"June 7, 2022",
Saturday Holiday,"June 7, 2022",
Special(Saturday),"June 7, 2022",
Sunday,"June 7, 2022",
Sunday Holiday,"June 7, 2022",
Weekday,"June 7, 2022",260823.0
July 4th Special,"June 8, 2022",
July 4th Special Sked,"June 8, 2022",
Saturday,"June 8, 2022",
Saturday Holiday,"June 8, 2022",
Special(Saturday),"June 8, 2022",
Sunday,"June 8, 2022",
Sunday Holiday,"June 8, 2022",
Weekday,"June 8, 2022",267113.0
July 4th Special,"June 9, 2022",
July 4th Special Sked,"June 9, 2022",
Saturday,"June 9, 2022",
Saturday Holiday,"June 9, 2022",
Special(Saturday),"June 9, 2022",
Sunday,"June 9, 2022",
Sunday Holiday,"June 9, 2022",
Weekday,"June 9, 2022",263152.0
July 4th Special,"June 10, 2022",
July 4th Special Sked,"June 10, 2022",
Saturday,"June 10, 2022",
Saturday Holiday,"June 10, 2022",
Special(Saturday),"June 10, 2022",
Sunday,"June 10, 2022",
Sunday Holiday,"June 10, 2022",
Weekday,"June 10, 2022",258356.0
July 4th Special,"June 13, 2022",
July 4th Special Sked,"June 13, 2022",
Saturday,"June 13, 2022",
Saturday Holiday,"June 13, 2022",
Special(Saturday),"June 13, 2022",
Sunday,"June 13, 2022",
Sunday Holiday,"June 13, 2022",
Weekday,"June 13, 2022",238777.0
July 4th Special,"June 14, 2022",
July 4th Special Sked,"June 14, 2022",
Saturday,"June 14, 2022",
Saturday Holiday,"June 14, 2022",
Special(Saturday),"June 14, 2022",
Sunday,"June 14, 2022",
Sunday Holiday,"June 14, 2022",
Weekday,"June 14, 2022",274150.0
July 4th Special,"June 15, 2022",
July 4th Special Sked,"June 15, 2022",
Saturday,"June 15, 2022",
Saturday Holiday,"June 15, 2022",
Special(Saturday),"June 15, 2022",
Sunday,"June 15, 2022",
Sunday Holiday,"June 15, 2022",
Weekday,"June 15, 2022",280124.0
July 4th Special,"June 16, 2022",
July 4th Special Sked,"June 16, 2022",
Saturday,"June 16, 2022",
Saturday Holiday,"June 16, 2022",
Special(Saturday),"June 16, 2022",
Sunday,"June 16, 2022",
Sunday Holiday,"June 16, 2022",
Weekday,"June 16, 2022",275447.0
July 4th Special,"June 17, 2022",
July 4th Special Sked,"June 17, 2022",
Saturday,"June 17, 2022",
Saturday Holiday,"June 17, 2022",
Special(Saturday),"June 17, 2022",
Sunday,"June 17, 2022",
Sunday Holiday,"June 17, 2022",
Weekday,"June 17, 2022",282679.0
July 4th Special,"June 20, 2022",
July 4th Special Sked,"June 20, 2022",
Saturday,"June 20, 2022",
Saturday Holiday,"June 20, 2022",
Special(Saturday),"June 20, 2022",
Sunday,"June 20, 2022",157037.0
Sunday Holiday,"June 20, 2022",
Weekday,"June 20, 2022",
July 4th Special,"June 21, 2022",
July 4th Special Sked,"June 21, 2022",
Saturday,"June 21, 2022",
Saturday Holiday,"June 21, 2022",
Special(Saturday),"June 21, 2022",
Sunday,"June 21, 2022",
Sunday Holiday,"June 21, 2022",
Weekday,"June 21, 2022",266350.0
July 4th Special,"June 22, 2022",
July 4th Special Sked,"June 22, 2022",
Saturday,"June 22, 2022",
Saturday Holiday,"June 22, 2022",
Special(Saturday),"June 22, 2022",
Sunday,"June 22, 2022",
Sunday Holiday,"June 22, 2022",
Weekday,"June 22, 2022",266478.0
July 4th Special,"June 23, 2022",
July 4th Special Sked,"June 23, 2022",
Saturday,"June 23, 2022",
Saturday Holiday,"June 23, 2022",
Special(Saturday),"June 23, 2022",
Sunday,"June 23, 2022",
Sunday Holiday,"June 23, 2022",
Weekday,"June 23, 2022",258213.0
July 4th Special,"June 24, 2022",
July 4th Special Sked,"June 24, 2022",
Saturday,"June 24, 2022",
Saturday Holiday,"June 24, 2022",
Special(Saturday),"June 24, 2022",
Sunday,"June 24, 2022",
Sunday Holiday,"June 24, 2022",
Weekday,"June 24, 2022",265046.0
July 4th Special,"June 27, 2022",
July 4th Special Sked,"June 27, 2022",
Saturday,"June 27, 2022",
Saturday Holiday,"June 27, 2022",
Special(Saturday),"June 27, 2022",
Sunday,"June 27, 2022",
Sunday Holiday,"June 27, 2022",
Weekday,"June 27, 2022",227090.0
July 4th Special,"June 28, 2022",
July 4th Special Sked,"June 28, 2022",
Saturday,"June 28, 2022",
Saturday Holiday,"June 28, 2022",
Special(Saturday),"June 28, 2022",
Sunday,"June 28, 2022",
Sunday Holiday,"June 28, 2022",
Weekday,"June 28, 2022",274682.0
July 4th Special,"June 29, 2022",
July 4th Special Sked,"June 29, 2022",
Saturday,"June 29, 2022",
Saturday Holiday,"June 29, 2022",
Special(Saturday),"June 29, 2022",
Sunday,"June 29, 2022",
Sunday Holiday,"June 29, 2022",
Weekday,"June 29, 2022",269125.0
July 4th Special,"June 30, 2022",
July 4th Special Sked,"June 30, 2022",
Saturday,"June 30, 2022",
Saturday Holiday,"June 30, 2022",
Special(Saturday),"June 30, 2022",
Sunday,"June 30, 2022",
Sunday Holiday,"June 30, 2022",
Weekday,"June 30, 2022",254517.0
July 4th Special,"July 1, 2022",
July 4th Special Sked,"July 1, 2022",
Saturday,"July 1, 2022",
Saturday Holiday,"July 1, 2022",
Special(Saturday),"July 1, 2022",
Sunday,"July 1, 2022",
Sunday Holiday,"July 1, 2022",
Weekday,"July 1, 2022",230188.0
July 4th Special,"July 4, 2022",
July 4th Special Sked,"July 4, 2022",
Saturday,"July 4, 2022",
Saturday Holiday,"July 4, 2022",
Special(Saturday),"July 4, 2022",
Sunday,"July 4, 2022",253727.0
Sunday Holiday,"July 4, 2022",
Weekday,"July 4, 2022",
July 4th Special,"July 5, 2022",
July 4th Special Sked,"July 5, 2022",
Saturday,"July 5, 2022",
Saturday Holiday,"July 5, 2022",
Special(Saturday),"July 5, 2022",
Sunday,"July 5, 2022",
Sunday Holiday,"July 5, 2022",
Weekday,"July 5, 2022",235493.0
July 4th Special,"July 6, 2022",
July 4th Special Sked,"July 6, 2022",
Saturday,"July 6, 2022",
Saturday Holiday,"July 6, 2022",
Special(Saturday),"July 6, 2022",
Sunday,"July 6, 2022",
Sunday Holiday,"July 6, 2022",
Weekday,"July 6, 2022",254358.0
July 4th Special,"July 7, 2022",
July 4th Special Sked,"July 7, 2022",
Saturday,"July 7, 2022",
Saturday Holiday,"July 7, 2022",
Special(Saturday),"July 7, 2022",
Sunday,"July 7, 2022",
Sunday Holiday,"July 7, 2022",
Weekday,"July 7, 2022",247501.0
July 4th Special,"July 8, 2022",
July 4th Special Sked,"July 8, 2022",
Saturday,"July 8, 2022",
Saturday Holiday,"July 8, 2022",
Special(Saturday),"July 8, 2022",
Sunday,"July 8, 2022",
Sunday Holiday,"July 8, 2022",
Weekday,"July 8, 2022",229705.0
July 4th Special,"July 11, 2022",
July 4th Special Sked,"July 11, 2022",
Saturday,"July 11, 2022",
Saturday Holiday,"July 11, 2022",
Special(Saturday),"July 11, 2022",
Sunday,"July 11, 2022",
Sunday Holiday,"July 11, 2022",
Weekday,"July 11, 2022",228170.0
July 4th Special,"July 12, 2022",
July 4th Special Sked,"July 12, 2022",
Saturday,"July 12, 2022",
Saturday Holiday,"July 12, 2022",
Special(Saturday),"July 12, 2022",
Sunday,"July 12, 2022",
Sunday Holiday,"July 12, 2022",
Weekday,"July 12, 2022",264175.0
July 4th Special,"July 13, 2022",
July 4th Special Sked,"July 13, 2022",
Saturday,"July 13, 2022",
Saturday Holiday,"July 13, 2022",
Special(Saturday),"July 13, 2022",
Sunday,"July 13, 2022",
Sunday Holiday,"July 13, 2022",
Weekday,"July 13, 2022",286911.0
July 4th Special,"July 14, 2022",
July 4th Special Sked,"July 14, 2022",
Saturday,"July 14, 2022",
Saturday Holiday,"July 14, 2022",
Special(Saturday),"July 14, 2022",
Sunday,"July 14, 2022",
Sunday Holiday,"July 14, 2022",
Weekday,"July 14, 2022",277358.0
July 4th Special,"July 15, 2022",
